Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682548573.8474178,37.875251,-122.259186,40.4,1.4,0.6,0.0
1682548579.337793,37.875256,-122.259128,38.0,1.0,0.2,0.0
1682548584.8342433,37.87525,-122.259095,45.4,1.6,0.6,0.0
1682548590.3113596,37.875241,-122.259048,37.0,0.4,0.2,0.0
1682548595.7642517,37.875266,-122.25901,43.0,0.8,1.4,0.0
1682548601.2559311,37.875261,-122.259018,42.0,0.8,0.0,0.0
1682548606.7224665,37.875261,-122.258968,33.2,0.8,0.6,0.0
1682548612.2253394,37.87529,-122.258988,38.0,1.2,0.2,0.0
1682548617.726411,37.875294,-122.259031,40.2,1.0,0.0,0.0
1682548623.2868629,37.87533,-122.259035,39.2,1.2,0.2,0.0
1682548628.7952685,37.875368,-122.259041,35.6,1.4,0.0,0.0
1682548634.400348,37.875436,-122.258991,33.0,0.6,0.4,0.0
1682548639.9644442,37.875431,-122.259001,40.0,1.4,0.0,0.0
1682548645.5485451,37.875438,-122.259058,41.2,1.2,0.4,0.0
1682548651.1744428,37.875423,-122.259068,38.0,0.8,0.4,0.0
1682548656.7577183,37.875433,-122.25906,36.8,1.4,0.2,0.0
1682548662.3923466,37.875461,-122.258961,47.6,0.4,1.0,0.0
1682548668.0219965,37.875533,-122.258845,42.6,1.4,0.2,0.2
1682548673.738543,37.87555,-122.258888,37.2,1.0,0.2,0.2
1682548679.480699,37.875636,-122.258926,42.8,0.8,1.0,0.0
1682548685.186242,37.875673,-122.258906,34.2,1.8,0.6,0.0
1682548690.8684783,37.875726,-122.258905,39.8,1.0,1.2,0.0
1682548696.5864747,37.875751,-122.258873,33.4,1.0,0.2,0.2
1682548702.3246057,37.875776,-122.25894,35.4,0.4,0.4,0.0
1682548708.1465886,37.875806,-122.258969,38.0,1.0,1.0,0.0
1682548713.908603,37.875845,-122.258978,39.6,1.0,0.0,0.0
1682548719.7086604,37.875913,-122.259011,40.4,0.4,0.4,0.0
1682548725.5180266,37.875958,-122.259035,35.2,0.8,0.6,0.0
