Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682549948.7665899,0,0,53.6,1.6,1.0,0.0
1682549954.1857016,0,0,61.6,1.0,0.2,0.0
1682549959.6803966,0,0,48.4,1.2,0.0,0.0
1682549965.1207979,0,0,49.2,1.0,0.8,0.0
1682549970.5328126,0,0,59.4,1.2,0.4,0.0
1682549976.0076594,0,0,55.2,1.0,1.0,0.0
1682549981.4749098,0,0,54.4,1.2,0.0,0.0
1682549986.9741914,0,0,49.8,1.2,0.4,0.0
1682549992.4722753,0,0,60.0,1.6,0.6,0.0
1682549997.9896593,0,0,48.2,1.8,0.6,0.0
1682550003.508365,0,0,58.4,1.8,0.4,0.0
1682550009.0923805,0,0,57.6,1.4,0.6,0.0
1682550015.3981774,0,0,60.2,1.2,0.8,0.0
1682550020.9736836,0,0,49.8,2.0,0.2,0.0
1682550026.5349061,0,0,55.6,1.8,0.6,0.2
1682550032.1498199,0,0,58.0,1.8,0.4,0.0
1682550037.809362,0,0,57.8,0.8,1.0,0.0
1682550043.4730859,0,0,54.4,0.8,0.0,0.0
1682550049.1749048,0,0,58.8,2.0,0.4,0.0
1682550054.8209085,0,0,58.2,1.4,0.6,0.0
1682550060.5034509,0,0,55.4,1.8,0.8,0.0
1682550066.2228482,0,0,56.2,1.0,0.8,0.0
1682550071.955898,0,0,55.0,2.4,0.8,0.0
1682550077.698442,0,0,57.4,0.8,0.2,0.0
1682550083.4874578,0,0,56.4,2.8,1.2,0.0
1682550089.2954144,0,0,62.0,1.4,0.0,0.0
1682550095.0843596,0,0,56.2,2.2,0.2,0.0
