Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682550538.6587894,37.873505,-122.257666,45.4,1.0,0.8,0.0
1682550544.1376827,37.873528,-122.257641,47.0,1.4,0.4,0.0
1682550549.6227443,37.87356,-122.257655,52.2,1.4,0.2,0.0
1682550555.0850542,37.873566,-122.257655,47.4,1.4,0.6,0.0
1682550560.5181048,37.873495,-122.257585,52.6,2.2,0.2,0.0
1682550566.0484385,37.873448,-122.257515,52.2,1.8,0.0,0.0
1682550571.5163596,37.87305,-122.25676,48.8,0.6,0.8,0.0
1682550577.0507228,37.872988,-122.256616,48.8,1.4,0.4,0.0
1682550582.5567746,37.872988,-122.256616,50.2,1.4,0.4,0.0
1682550588.0754766,37.872988,-122.256616,42.6,2.0,0.2,0.2
1682550593.5631793,37.872988,-122.256616,48.8,1.0,0.0,0.0
1682550599.1400983,37.872988,-122.256616,42.8,1.8,0.4,0.0
1682550604.6924427,37.872988,-122.256616,52.6,1.6,0.6,0.0
1682550610.2886431,37.872988,-122.256616,46.2,2.4,0.6,0.0
1682550615.893273,37.872988,-122.256616,50.8,1.8,0.2,0.0
1682550621.490057,37.872988,-122.256616,47.2,1.0,0.2,0.0
1682550627.1298034,37.872988,-122.256616,44.8,0.8,0.2,0.0
1682550632.748473,37.872988,-122.256616,45.8,1.8,0.8,0.0
1682550638.3965213,37.872988,-122.256616,44.4,1.6,0.2,0.0
1682550644.0743344,37.872988,-122.256616,51.0,0.8,0.2,0.0
1682550649.7535841,37.872988,-122.256616,53.6,1.4,0.8,0.2
1682550655.4516788,37.872988,-122.256616,51.6,1.6,0.0,0.0
1682550661.1956606,37.872988,-122.256616,47.0,1.0,0.2,0.2
1682550666.9065964,37.872988,-122.256616,55.4,1.8,1.2,0.0
1682550672.659506,37.872988,-122.256616,57.4,1.4,0.6,0.0
1682550678.4501982,37.872988,-122.256616,47.8,2.2,0.4,0.0
1682550684.2267747,37.872988,-122.256616,50.6,0.8,0.2,0.2
1682550690.0314353,37.873631,-122.257308,53.0,2.8,0.4,0.0
1682550696.072871,37.873383,-122.25743,45.6,1.6,0.4,0.0
1682550701.8701231,37.873116,-122.257458,48.2,1.2,0.8,0.0
1682550707.7076554,37.87223,-122.257516,52.8,2.0,0.6,0.2
1682550713.5646863,37.87223,-122.257516,53.6,1.6,0.4,0.0
1682550719.4640453,37.87223,-122.257516,39.4,1.0,0.4,0.0
1682550725.3303595,37.87223,-122.257516,49.8,1.6,0.0,0.0
1682550732.108377,37.87223,-122.257516,49.4,1.4,0.6,0.0
1682550738.14383,37.87223,-122.257516,46.4,1.6,0.4,0.0
1682550744.1832912,37.87223,-122.257516,41.4,1.4,0.4,0.0
1682550750.1210012,37.87223,-122.257516,50.2,2.0,0.2,0.0
1682550756.1052966,37.87223,-122.257516,50.2,1.4,0.4,0.2
1682550762.1037471,37.87223,-122.257516,46.0,1.0,0.4,0.0
1682550768.0958118,37.87223,-122.257516,50.6,3.0,0.0,0.0
