Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682550989.3321018,0,0,42.2,1.0,0.2,0.0
1682550996.2694294,0,0,41.0,1.4,0.2,0.0
1682551001.8153055,0,0,44.0,1.2,0.4,0.0
1682551007.256186,0,0,46.0,1.2,1.4,0.0
1682551012.7006595,0,0,41.0,1.2,0.2,0.0
1682551018.1880596,0,0,43.8,0.4,0.4,0.0
1682551023.6459172,0,0,45.0,1.4,0.4,0.2
1682551029.1533906,0,0,37.0,1.2,0.6,0.0
1682551034.6612298,0,0,43.8,1.2,0.2,0.2
1682551040.1570551,0,0,46.4,1.8,0.8,0.0
1682551045.6835897,0,0,41.6,0.8,0.6,0.0
1682551051.2577698,0,0,45.0,0.6,0.4,0.2
1682551056.816898,0,0,40.6,0.2,0.4,0.0
1682551062.4056602,0,0,43.2,1.0,0.2,0.0
1682551067.9702582,0,0,38.2,2.0,0.0,0.2
1682551073.5560625,0,0,38.6,0.6,0.4,0.2
1682551079.3479593,0,0,43.4,1.0,0.2,0.0
1682551085.001531,0,0,44.6,1.8,0.4,0.0
1682551090.6403577,0,0,42.4,1.6,0.4,0.0
1682551096.313652,0,0,48.6,1.4,0.6,0.0
1682551102.0089765,0,0,42.8,1.2,0.8,0.0
1682551107.7282665,0,0,45.2,1.2,0.2,0.0
1682551113.4895153,0,0,46.8,0.6,0.2,0.0
1682551119.2118864,0,0,47.8,1.0,0.2,0.0
1682551124.9537027,0,0,48.0,1.8,0.2,0.0
1682551130.6914854,0,0,43.8,1.2,0.8,0.0
1682551136.5556774,0,0,41.8,1.0,1.0,0.2
1682551142.339305,0,0,40.2,2.2,0.6,0.0
1682551148.188056,0,0,38.4,1.2,0.2,0.2
1682551153.986316,0,0,45.2,1.0,0.4,0.0
1682551159.8166938,0,0,44.2,1.4,0.8,0.0
1682551165.6542277,0,0,42.8,1.2,0.2,0.0
1682551171.51476,0,0,49.4,2.6,0.0,0.0
1682551177.4263358,0,0,43.4,1.6,0.8,0.0
1682551183.3192005,0,0,47.2,2.2,1.0,0.0
1682551189.2100434,0,0,44.2,2.4,0.2,0.0
1682551195.284087,0,0,37.8,1.6,0.4,0.0
1682551201.2631674,0,0,46.2,0.8,0.2,0.0
1682551207.5151458,0,0,42.4,1.2,0.8,0.0
