Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682548829.2826195,0,0,35.2,0.6,0.2,0.2
1682548834.6970263,0,0,32.0,2.0,0.0,0.0
1682548840.2150548,0,0,35.0,1.0,0.2,0.2
1682548845.635163,0,0,39.6,2.0,0.2,0.0
1682548851.1811907,0,0,36.2,2.0,0.2,0.0
1682548856.6242445,0,0,36.4,1.2,0.6,0.0
1682548862.2316864,0,0,38.4,1.2,0.4,0.0
1682548867.6822615,0,0,35.4,1.2,0.0,0.0
1682548873.2186337,0,0,35.4,1.6,0.4,0.2
1682548878.7132792,0,0,33.0,1.8,0.4,0.0
1682548884.3108742,0,0,29.0,0.8,0.0,0.0
1682548889.8706775,0,0,38.2,1.4,0.6,0.0
1682548895.4176774,0,0,34.6,1.8,0.2,0.0
1682548900.9886014,0,0,34.2,1.2,0.4,0.0
1682548906.58008,0,0,37.4,1.4,0.2,0.0
1682548912.3670585,0,0,33.4,1.6,0.0,0.2
1682548918.0241404,0,0,36.0,0.8,0.8,0.0
1682548923.6272388,0,0,34.4,1.8,0.2,0.0
1682548929.3176174,0,0,31.8,0.2,0.8,0.0
1682548934.9887648,0,0,35.2,2.0,0.0,0.0
1682548940.6582003,0,0,38.2,1.4,0.4,0.2
1682548946.3746653,0,0,36.6,1.4,0.6,0.0
1682548952.0977664,0,0,37.2,1.6,0.0,0.0
1682548957.813343,0,0,38.8,1.2,0.6,0.0
1682548963.55502,0,0,33.2,1.2,0.4,0.0
1682548969.3549209,0,0,35.6,1.2,0.6,0.2
1682548975.14363,0,0,38.8,1.4,0.6,0.0
1682548980.9547899,0,0,41.0,1.8,0.4,0.2
1682548986.762156,0,0,38.6,2.0,0.2,0.0
1682548992.5616555,0,0,40.0,1.0,0.4,0.0
1682548998.4123855,0,0,36.6,1.4,0.6,0.0
1682549004.247421,0,0,37.8,1.4,0.2,0.0
1682549010.124511,0,0,36.8,1.0,0.0,0.2
1682549016.0422454,0,0,38.8,1.2,0.6,0.0
1682549021.9166331,0,0,35.2,1.0,0.0,0.0
1682549027.8463368,0,0,37.0,0.8,0.2,0.0
1682549034.4836664,0,0,36.8,1.4,0.6,0.0
1682549040.482515,0,0,34.8,0.8,0.8,0.0
1682549046.5661771,0,0,34.2,0.8,0.2,0.0
