Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682553490.722869,37.870089,-122.258458,39.6,0.4,0.6,0.0
1682553496.6118536,37.870083,-122.25846,37.2,1.0,0.0,0.0
1682553502.1563199,37.870085,-122.258451,39.2,2.0,0.0,0.2
1682553507.605175,37.87011,-122.258443,42.0,1.4,0.8,0.0
1682553513.0642834,37.87012,-122.258461,31.8,0.8,0.4,0.2
1682553518.5250165,37.870096,-122.258478,34.4,1.6,0.0,0.2
1682553524.019751,37.87,-122.258461,38.8,0.8,0.8,0.0
1682553529.5153785,37.870036,-122.258478,38.8,1.0,0.2,0.0
1682553535.0226588,37.870096,-122.258488,32.0,1.0,0.4,0.0
1682553540.5215387,37.870045,-122.258476,34.8,1.6,0.8,0.0
1682553546.0877855,37.869986,-122.258463,38.0,1.0,0.0,0.0
1682553551.6339989,37.870086,-122.258441,33.8,2.2,0.6,0.0
1682553557.2045588,37.870036,-122.258418,27.6,0.8,0.0,0.0
1682553562.7557514,37.869948,-122.258401,32.0,0.8,0.2,0.0
1682553568.3649025,37.869854,-122.258358,35.8,0.6,0.0,0.0
1682553573.9425151,37.869821,-122.258365,36.8,1.4,0.6,0.0
1682553579.5615392,37.869808,-122.258353,35.8,0.8,0.0,0.0
1682553585.1719892,37.869771,-122.258358,34.4,1.6,0.0,0.2
1682553590.8011022,37.869745,-122.258376,34.0,0.6,0.6,0.0
1682553596.5221586,37.869656,-122.25837,35.0,0.6,0.2,0.0
1682553602.2040584,37.869615,-122.25837,31.4,0.6,0.0,0.0
