Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682549340.2399714,0,0,17.4,0.6,0.4,0.0
1682549345.6797364,0,0,20.2,0.2,0.0,0.0
1682549351.1984875,0,0,21.2,1.0,0.2,0.0
1682549356.6292222,0,0,17.8,0.4,0.0,0.0
1682549362.1108634,0,0,18.0,0.4,0.0,0.0
1682549367.5539446,0,0,16.8,0.4,0.2,0.0
1682549373.0423317,0,0,18.2,1.0,0.0,0.0
1682549378.510886,0,0,16.4,0.4,0.2,0.0
1682549384.0144508,0,0,17.2,0.8,0.0,0.0
1682549389.5017245,0,0,18.0,1.6,0.0,0.0
1682549395.0319653,0,0,18.2,1.0,0.4,0.0
1682549400.5891902,0,0,19.0,1.2,0.2,0.0
1682549406.1596842,0,0,21.2,0.8,0.4,0.0
1682549411.7114906,0,0,18.4,0.6,0.2,0.0
1682549417.2981842,0,0,18.2,1.0,0.4,0.0
1682549422.8857534,0,0,16.2,0.4,0.2,0.0
1682549428.5017798,0,0,21.4,1.4,0.0,0.0
1682549434.1266017,0,0,17.0,0.8,0.0,0.0
1682549439.8009915,0,0,16.2,1.4,0.4,0.0
1682549445.4981503,0,0,18.2,0.6,0.2,0.0
1682549451.2349107,0,0,17.2,0.4,0.0,0.0
1682549456.998598,0,0,16.0,0.6,0.0,0.0
1682549462.7212696,0,0,17.0,0.2,0.0,0.0
1682549469.7617104,0,0,17.0,0.4,0.2,0.0
1682549475.541136,0,0,19.6,0.6,0.2,0.0
1682549481.3607233,0,0,20.2,0.6,0.2,0.0
1682549487.1679673,0,0,20.6,1.0,0.2,0.0
1682549492.9677,0,0,17.6,0.8,0.2,0.2
1682549498.755505,0,0,21.6,0.8,0.0,0.0
1682549504.5858803,0,0,18.8,0.6,0.2,0.0
1682549510.5193658,0,0,16.4,0.6,0.0,0.0
1682549516.4055052,0,0,18.0,0.4,0.0,0.2
1682549522.3243802,0,0,19.4,0.6,0.4,0.0
1682549528.3661842,0,0,21.8,1.0,0.4,0.0
1682549534.4644735,0,0,16.4,0.2,0.2,0.0
1682549540.4092155,0,0,15.6,0.4,0.2,0.0
1682549546.4566143,0,0,16.8,0.6,0.0,0.0
1682549552.4383283,0,0,19.6,0.4,0.2,0.0
1682549558.405709,0,0,19.0,0.6,0.0,0.0
1682549564.3837132,0,0,17.6,0.4,0.4,0.0
1682549570.382425,0,0,19.6,0.8,0.2,0.0
1682549576.3824792,0,0,15.8,0.8,0.2,0.2
1682549582.391125,0,0,20.8,1.0,0.2,0.0
1682549588.436178,0,0,16.0,0.2,0.2,0.0
1682549594.503915,0,0,19.6,0.6,0.4,0.0
1682549600.5396633,0,0,18.0,1.0,0.0,0.0
1682549606.6440468,0,0,18.2,1.0,0.2,0.0
1682549612.9017825,0,0,18.4,0.6,0.0,0.0
1682549619.1072118,0,0,14.6,0.6,0.2,0.0
1682549625.334021,0,0,19.2,1.8,0.6,0.0
1682549631.4563057,0,0,19.8,1.0,0.0,0.0
1682549637.6387699,0,0,15.8,0.8,0.2,0.2
1682549643.804194,0,0,18.2,1.6,0.2,0.0
