Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682726849.6159883,0,0,48.6,1.2,0.6,0.0
1682726855.00912,0,0,43.4,1.4,0.0,0.0
1682726860.520415,0,0,40.8,1.2,0.2,0.2
1682726865.9230764,0,0,40.0,0.6,0.6,0.0
1682726871.3316011,0,0,41.4,0.4,0.2,0.0
1682726876.7493436,0,0,39.8,1.6,0.2,0.0
1682726882.1768372,0,0,36.8,2.2,0.2,0.0
1682726887.614542,0,0,45.0,1.6,0.2,0.0
1682726893.0835128,0,0,39.4,2.6,0.4,0.0
1682726898.561271,0,0,50.2,1.2,0.0,0.0
1682726904.0284536,0,0,44.4,1.6,0.2,0.2
1682726909.5484738,0,0,42.2,2.0,0.2,0.0
1682726915.0304515,0,0,42.2,0.6,0.6,0.0
1682726920.5471163,0,0,40.2,0.8,0.4,0.0
1682726926.0623434,0,0,39.4,0.6,0.0,0.0
1682726931.6049795,0,0,43.6,1.4,0.4,0.0
1682726937.1614418,0,0,41.4,1.0,0.0,0.0
1682726942.7077844,0,0,44.8,1.6,0.6,0.0
1682726948.26321,0,0,40.4,1.6,0.0,0.0
1682726953.8518596,0,0,48.0,0.8,0.8,0.0
1682726959.4246385,0,0,43.6,0.8,1.0,0.0
1682726965.0284996,0,0,36.8,0.4,0.0,0.0
1682726970.6359756,0,0,40.0,1.2,0.4,0.0
1682726976.2492518,0,0,44.2,1.6,1.2,0.0
1682726981.869366,0,0,36.8,1.4,0.2,0.0
1682726987.5187774,0,0,45.8,1.0,0.6,0.0
1682726993.1617925,0,0,46.4,1.4,0.4,0.0
1682726998.82403,0,0,45.6,1.0,0.4,0.0
1682727004.4893594,0,0,39.2,1.0,0.4,0.0
1682727010.1520212,0,0,43.4,1.8,0.0,0.0
1682727015.859149,0,0,44.6,1.4,0.6,0.0
1682727021.563573,0,0,44.8,1.2,0.0,0.2
1682727027.2810407,0,0,41.0,1.4,0.0,0.0
1682727033.0062685,0,0,38.2,2.0,0.8,0.0
1682727038.758984,0,0,41.2,1.2,0.2,0.0
1682727044.5002668,0,0,47.2,1.0,0.4,0.0
1682727050.3866878,0,0,41.0,1.6,0.4,0.0
1682727056.2224176,0,0,39.8,1.6,0.2,0.0
1682727062.0113168,0,0,38.8,0.8,0.6,0.0
1682727067.8115695,0,0,39.2,0.6,0.0,0.0
1682727073.579658,0,0,41.6,0.8,0.8,0.0
1682727079.337643,0,0,41.2,1.2,0.2,0.0
1682727085.0956342,0,0,43.0,1.2,0.8,0.0
1682727090.8797183,0,0,38.4,1.6,0.4,0.0
1682727096.6747777,0,0,43.0,1.2,0.4,0.2
1682727102.4628582,0,0,38.4,1.0,1.0,0.0
1682727108.266813,0,0,41.4,1.2,0.4,0.0
1682727114.0913696,0,0,43.4,0.6,0.0,0.2
1682727119.916669,0,0,41.4,1.0,0.0,0.0
1682727125.7566094,0,0,49.0,1.2,0.0,0.0
1682727131.6019008,0,0,43.0,2.2,0.2,0.0
1682727137.4659715,0,0,42.4,1.6,1.0,0.2
1682727143.3341808,0,0,40.8,1.0,0.6,0.2
1682727149.4286642,0,0,41.2,1.2,0.2,0.0
1682727155.3919106,0,0,39.0,0.6,0.2,0.0
1682727161.3306274,0,0,40.2,1.2,0.2,0.0
1682727167.3780942,0,0,39.8,1.4,0.6,0.0
1682727173.3819282,0,0,45.6,0.8,0.0,0.0
1682727179.3745918,0,0,41.2,1.8,0.6,0.2
