Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682752810.0268562,0,0,36.0,1.2,0.6,0.2
1682752815.3983397,0,0,34.6,1.8,0.8,0.0
1682752820.9291246,0,0,35.2,1.4,0.2,0.2
1682752826.315029,0,0,32.6,0.4,0.2,0.0
1682752831.717927,0,0,30.4,0.6,0.2,0.0
1682752837.1445386,0,0,30.6,1.0,0.2,0.0
1682752842.5614154,0,0,30.8,0.6,0.4,0.0
1682752848.014814,0,0,37.8,1.8,0.0,0.0
1682752853.4621804,0,0,33.2,1.0,0.2,0.0
1682752858.9211998,0,0,31.6,0.2,0.2,0.0
1682752864.4028888,0,0,33.8,0.8,0.2,0.0
1682752869.9058266,0,0,30.6,1.4,0.0,0.0
1682752875.4047306,0,0,28.8,0.4,0.8,0.2
1682752880.9038956,0,0,33.6,0.4,0.6,0.2
1682752886.6588204,0,0,33.6,1.0,0.0,0.2
1682752892.1914206,0,0,30.4,0.8,0.2,0.0
1682752897.7158942,0,0,37.0,1.0,0.6,0.0
1682752903.2724912,0,0,36.0,1.2,0.0,0.0
1682752908.8250535,0,0,35.8,0.8,0.6,0.0
1682752914.5553894,0,0,32.4,1.0,0.2,0.2
1682752920.13865,0,0,34.6,0.2,0.0,0.0
1682752925.7559187,0,0,34.8,1.0,0.2,0.0
1682752931.3605156,0,0,35.6,0.8,0.2,0.0
1682752936.9791207,0,0,33.6,0.4,0.2,0.2
1682752942.6019685,0,0,34.6,1.0,0.2,0.0
1682752948.2258263,0,0,35.2,1.0,0.6,0.2
1682752953.868177,0,0,30.2,0.6,0.0,0.0
1682752959.5204318,0,0,39.8,0.4,0.0,0.0
1682752965.1896546,0,0,36.0,2.0,0.2,0.0
1682752971.1604385,0,0,33.2,0.4,0.4,0.0
1682752976.8621297,0,0,34.6,1.2,0.4,0.0
1682752982.5880275,0,0,38.6,1.0,0.2,0.0
1682752988.3607416,0,0,34.8,1.0,0.0,0.0
1682752994.1553068,0,0,39.2,0.8,0.2,0.0
1682752999.9016569,0,0,35.4,1.0,0.4,0.0
1682753005.651654,0,0,35.0,0.4,0.4,0.0
1682753011.5016186,0,0,35.8,1.4,0.0,0.0
1682753017.4293227,0,0,35.0,1.6,0.0,0.2
1682753023.153108,0,0,33.0,0.8,0.4,0.0
1682753028.8837645,0,0,40.4,1.4,0.2,0.0
1682753034.6361382,0,0,33.2,0.4,0.2,0.0
1682753040.3897252,0,0,37.2,1.0,0.6,0.0
1682753046.1564596,0,0,35.6,0.4,0.4,0.0
1682753051.9303873,0,0,32.4,0.4,0.6,0.0
1682753057.71402,0,0,30.8,0.8,0.4,0.0
1682753063.5056531,0,0,29.6,0.4,0.0,0.0
1682753069.5650632,0,0,35.0,1.2,0.0,0.2
1682753075.3655434,0,0,34.4,0.4,0.2,0.0
1682753081.1900878,0,0,34.2,0.6,0.0,0.0
1682753087.0502532,0,0,34.8,0.6,0.0,0.0
1682753093.0054915,0,0,33.8,0.6,0.4,0.0
1682753098.890037,0,0,36.2,1.4,0.4,0.0
1682753104.817521,0,0,35.2,0.6,0.0,0.0
1682753110.975238,0,0,28.6,0.6,0.8,0.0
1682753116.9488196,0,0,34.8,0.4,0.2,0.0
1682753122.9060185,0,0,31.8,0.8,0.2,0.0
1682753128.8326843,0,0,35.2,2.4,0.0,0.0
1682753134.7815206,0,0,33.8,0.8,0.0,0.2
1682753140.7139764,0,0,33.6,1.2,0.2,0.2
1682753146.6590097,0,0,39.2,1.0,0.0,0.0
1682753152.6073194,0,0,37.0,0.8,0.0,0.0
1682753158.5879476,0,0,34.2,0.8,0.2,0.0
1682753164.5625913,0,0,34.6,0.8,0.0,0.0
1682753170.5428796,0,0,32.4,0.2,0.2,0.0
1682753176.6425211,0,0,31.8,0.4,0.4,0.0
1682753182.7081172,0,0,32.4,1.2,0.0,0.0
1682753188.9700527,0,0,32.8,1.2,0.0,0.0
1682753195.08708,0,0,33.4,0.8,0.6,0.0
1682753201.1197495,0,0,32.8,0.8,0.4,0.0
1682753207.1649134,0,0,39.0,0.8,0.6,0.0
1682753213.2468894,0,0,37.2,0.8,0.4,0.0
1682753219.323098,0,0,32.4,1.6,0.6,0.2
1682753225.4121108,0,0,34.0,1.6,0.0,0.0
1682753231.4915755,0,0,33.4,1.0,0.6,0.0
1682753237.7057724,0,0,35.4,0.6,0.2,0.0
1682753243.8634694,0,0,32.0,1.6,0.6,0.2
1682753250.1096168,0,0,35.4,0.8,0.4,0.0
1682753256.5367608,0,0,37.2,0.6,0.4,0.0
1682753262.6936934,0,0,37.0,1.2,0.0,0.0
1682753268.842923,0,0,30.0,0.2,0.0,0.0
1682753275.0450268,0,0,31.0,1.2,0.2,0.2
1682753281.2224677,0,0,38.2,1.6,0.2,0.0
1682753287.4926856,0,0,38.0,1.4,0.2,0.0
1682753293.7426357,0,0,33.8,1.0,0.2,0.0
1682753300.0457852,0,0,31.6,0.8,0.4,0.0
1682753306.3317409,0,0,34.0,1.4,0.0,0.0
1682753312.8247023,0,0,40.2,1.2,0.0,0.0
1682753319.079772,0,0,34.4,0.8,0.4,0.0
1682753325.3430455,0,0,33.0,1.2,0.4,0.0
1682753331.621542,0,0,34.6,1.0,0.6,0.2
1682753338.0049124,0,0,32.4,1.0,0.2,0.0
1682753344.4279177,0,0,37.6,1.0,0.6,0.0
1682753350.7954466,0,0,35.4,1.0,0.2,0.0
1682753357.0942657,0,0,34.0,0.8,0.6,0.0
1682753363.4006145,0,0,32.8,0.8,0.4,0.0
1682753369.9205105,0,0,37.6,0.8,0.0,0.0
1682753376.3244007,0,0,35.4,1.0,0.4,0.0
1682753382.7717984,0,0,33.2,1.0,0.6,0.0
1682753389.2614734,0,0,36.8,0.6,1.2,0.0
1682753395.6509748,0,0,35.6,1.0,0.4,0.0
1682753402.0198565,0,0,33.8,1.2,0.2,0.0
1682753408.3968306,0,0,37.8,2.0,0.4,0.0
1682753414.9736884,0,0,37.0,0.8,0.2,0.0
1682753421.4729712,0,0,36.2,0.4,0.2,0.0
1682753428.0250497,0,0,34.4,0.8,0.2,0.0
1682753434.4957685,0,0,33.4,1.0,0.4,0.0
1682753440.9497805,0,0,34.4,1.2,0.2,0.2
1682753447.4164321,0,0,31.0,1.0,0.2,0.0
1682753453.9821496,0,0,35.0,0.6,0.2,0.0
1682753460.992818,0,0,35.2,1.8,0.4,0.0
1682753467.7829063,0,0,33.0,0.2,0.0,0.0
1682753474.2881649,0,0,34.8,0.2,0.2,0.0
1682753480.8352873,0,0,31.2,0.4,0.6,0.0
1682753487.460523,0,0,29.8,0.4,0.2,0.0
1682753494.1211379,0,0,33.4,0.6,0.4,0.0
1682753500.766392,0,0,36.0,0.6,0.0,0.0
1682753507.310837,0,0,30.6,0.6,0.0,0.0
1682753514.077176,0,0,34.2,1.2,0.4,0.0
1682753520.881264,0,0,36.2,1.2,0.4,0.0
1682753527.5882611,0,0,34.0,0.8,0.2,0.0
1682753534.2498765,0,0,30.4,0.4,0.2,0.0
1682753540.860677,0,0,33.2,0.6,0.6,0.0
1682753547.4580646,0,0,39.2,1.2,0.2,0.0
1682753554.3873272,0,0,32.6,0.2,0.0,0.2
1682753561.186712,0,0,34.8,1.6,0.2,0.0
1682753567.8635101,0,0,33.6,0.6,1.2,0.0
1682753574.5304155,0,0,40.6,0.4,0.2,0.0
1682753581.439273,0,0,32.2,0.2,0.6,0.2
1682753588.177788,0,0,33.4,1.6,0.2,0.0
1682753595.1767287,0,0,28.4,0.4,0.8,0.0
1682753601.9877894,0,0,39.2,0.6,0.2,0.0
1682753608.7710595,0,0,36.8,1.0,1.2,0.0
1682753615.5699105,0,0,30.6,0.8,0.0,0.0
1682753622.4237037,0,0,37.0,1.0,0.2,0.0
1682753629.1714637,0,0,34.2,0.6,1.2,0.0
1682753636.1391625,0,0,33.2,1.8,0.0,0.2
1682753643.0301228,0,0,35.8,0.6,0.0,0.2
1682753649.9324071,0,0,33.8,0.6,0.4,0.0
1682753656.752829,0,0,34.0,1.0,0.4,0.0
1682753663.5709484,0,0,34.4,0.8,0.0,0.2
1682753670.4864147,0,0,34.6,0.6,0.4,0.0
1682753677.6029472,0,0,33.2,1.4,0.2,0.0
1682753684.4500155,0,0,37.0,1.4,0.2,0.2
