Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682751259.6399968,0,0,31.8,1.0,0.0,0.0
1682751265.0140219,0,0,37.4,0.8,0.6,0.0
1682751270.528391,0,0,35.8,1.2,0.2,0.0
1682751275.8703198,0,0,36.0,0.2,0.2,0.0
1682751281.3466854,0,0,35.6,0.4,0.6,0.0
1682751286.7884758,0,0,37.0,0.4,0.4,0.0
1682751292.2277408,0,0,30.6,1.0,0.2,0.0
1682751297.6677358,0,0,39.0,1.2,0.0,0.0
1682751303.1365998,0,0,36.0,0.8,0.2,0.0
1682751308.6013138,0,0,33.0,1.2,0.6,0.0
1682751314.0831833,0,0,33.0,1.4,0.2,0.0
1682751319.5374975,0,0,38.8,1.2,0.6,0.0
1682751325.0366538,0,0,38.4,0.4,0.0,0.4
1682751330.5393212,0,0,34.4,1.0,0.0,0.0
1682751336.07023,0,0,40.6,1.8,1.0,0.0
1682751341.6045594,0,0,37.4,0.6,0.2,0.0
1682751347.1471317,0,0,34.2,0.4,0.0,0.2
1682751352.6914458,0,0,36.0,1.2,0.6,0.0
1682751358.2611601,0,0,35.4,1.4,0.2,0.2
1682751363.8420959,0,0,34.8,1.0,0.2,0.4
1682751369.4198875,0,0,33.4,0.8,0.2,0.0
1682751375.024972,0,0,32.0,0.6,0.4,0.0
1682751380.621839,0,0,38.2,0.8,0.0,0.0
1682751386.22986,0,0,33.8,0.8,0.4,0.0
1682751391.8552227,0,0,39.0,1.4,0.2,0.0
1682751397.4882984,0,0,33.2,1.2,0.0,0.0
1682751403.2671692,0,0,35.6,0.4,0.2,0.0
1682751408.9332247,0,0,28.6,1.4,0.0,0.0
1682751414.6047857,0,0,36.4,1.0,0.0,0.0
1682751420.273623,0,0,37.8,0.8,0.4,0.0
1682751425.984667,0,0,38.0,1.2,0.4,0.0
1682751431.7028484,0,0,38.2,1.4,0.2,0.0
1682751437.4280803,0,0,37.0,0.8,0.0,0.0
1682751443.1532815,0,0,34.6,0.8,0.2,0.0
1682751448.908838,0,0,33.6,0.4,0.0,0.0
1682751454.6435668,0,0,34.2,0.8,0.2,0.0
1682751460.660165,0,0,40.8,1.0,0.6,0.0
1682751466.4512799,0,0,37.4,0.8,0.4,0.2
1682751472.2235134,0,0,39.6,1.0,0.2,0.0
1682751477.995024,0,0,35.0,0.8,0.4,0.0
1682751483.7349248,0,0,31.8,1.4,0.2,0.0
1682751489.4867213,0,0,35.2,0.8,0.2,0.0
