Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682664543.5614703,37.866933,-122.255456,43.0,1.6,0.2,0.0
1682664549.0158758,37.866918,-122.255448,50.4,1.8,0.2,0.0
1682664554.5383112,37.866916,-122.255455,43.2,1.0,0.6,0.2
1682664559.9426017,37.86693,-122.25544,46.0,2.8,1.0,0.0
1682664565.4143374,37.866928,-122.255433,43.2,1.6,0.4,0.0
1682664570.8657222,37.866865,-122.255366,41.8,1.0,0.2,0.2
1682664576.365967,37.866798,-122.255358,42.4,1.6,0.2,0.0
1682664581.8398523,37.866761,-122.255353,40.8,1.2,0.4,0.0
1682664587.3716514,37.866728,-122.255341,44.4,1.2,0.2,0.0
1682664592.8767292,37.866688,-122.255348,43.2,1.4,1.0,0.0
1682664598.4731793,37.866561,-122.255236,38.8,1.2,0.4,0.0
1682664604.0353534,37.866568,-122.255208,38.0,1.4,0.2,0.0
1682664609.6479099,37.866601,-122.255224,42.0,1.6,0.4,0.0
1682664615.2570426,37.866658,-122.255241,41.2,1.0,0.6,0.0
1682664620.8256345,37.86669,-122.25526,35.8,0.8,1.0,0.0
1682664626.475232,37.86673,-122.255311,40.0,0.8,0.6,0.0
1682664632.0872045,37.866766,-122.255303,40.0,0.2,0.6,0.0
1682664637.7194762,37.866793,-122.255284,44.0,1.2,0.6,0.0
1682664643.363942,37.866828,-122.255308,42.6,1.2,0.0,0.0
1682664649.0439112,37.866908,-122.2554,42.0,1.4,0.8,0.0
1682664654.7398963,37.867001,-122.25543,38.4,1.8,0.2,0.0
1682664660.4540858,37.867063,-122.255358,42.2,0.6,0.6,0.0
1682664666.1391647,37.867165,-122.255391,41.2,1.2,0.4,0.2
1682664671.8653493,37.86726,-122.255306,37.8,0.6,0.2,0.0
1682664677.6152353,37.867316,-122.255096,33.6,0.4,0.4,0.0
1682664683.3753026,37.867331,-122.254883,32.4,0.8,0.0,0.0
1682664689.2053282,37.86739,-122.254776,37.0,2.0,0.4,0.0
1682664695.0020037,37.867391,-122.254771,32.6,1.4,0.2,0.0
1682664700.828513,37.867388,-122.254771,31.4,0.6,0.2,0.0
1682664706.6930196,37.867398,-122.254721,31.0,0.8,0.6,0.2
1682664712.5591555,37.867406,-122.254654,34.6,0.8,0.0,0.0
1682664718.3905156,37.867413,-122.254601,40.2,0.8,0.4,0.2
1682664724.289906,37.867425,-122.25449,41.4,1.8,0.8,0.0
1682664730.1862676,37.86741,-122.254415,39.0,0.8,0.0,0.0
1682664736.0764928,37.867411,-122.254333,35.0,0.2,0.6,0.0
1682664742.0084612,37.867421,-122.254206,39.6,1.2,0.2,0.0
1682664748.0893977,37.867423,-122.254076,33.2,0.6,0.2,0.0
1682664754.0915468,37.867426,-122.253971,37.0,1.8,0.2,0.0
1682664760.2134361,37.867411,-122.253808,32.2,0.6,0.0,0.0
1682664766.23832,37.867371,-122.253828,40.0,1.0,0.6,0.2
