Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682664947.8060248,0,0,38.2,0.8,0.6,0.0
1682664953.2577274,0,0,41.0,1.4,0.2,0.0
1682664958.772698,0,0,40.8,1.0,0.6,0.0
1682664964.2214072,0,0,42.0,2.2,0.4,0.0
1682664969.7010188,0,0,36.4,1.0,0.4,0.0
1682664975.1883254,0,0,44.0,1.0,0.8,0.0
1682664980.6743374,0,0,44.4,1.0,0.4,0.0
1682664986.185981,0,0,37.2,1.0,0.2,0.0
1682664991.6929662,0,0,42.4,0.4,0.4,0.0
1682664997.243204,0,0,40.2,2.0,0.8,0.0
1682665002.7708688,0,0,43.6,2.0,0.2,0.0
1682665008.3888466,0,0,37.2,1.4,0.4,0.0
1682665013.9471154,0,0,40.4,1.0,0.4,0.0
1682665019.551826,0,0,37.8,1.2,0.2,0.0
1682665025.143068,0,0,42.0,2.2,0.0,0.0
1682665030.7407672,0,0,39.4,1.0,0.8,0.0
1682665036.394027,0,0,41.0,1.4,0.4,0.0
1682665042.038311,0,0,39.4,1.2,0.6,0.0
1682665047.7838726,0,0,41.4,1.0,0.2,0.0
1682665053.5142221,0,0,44.0,1.0,0.2,0.0
1682665059.2200425,0,0,38.0,1.6,0.0,0.0
1682665064.9107165,0,0,36.0,1.0,0.0,0.0
1682665070.6563692,0,0,41.8,1.2,0.0,0.0
1682665076.5087454,0,0,39.0,0.6,0.2,0.0
1682665082.3366165,0,0,38.6,1.6,0.0,0.0
1682665088.1173754,0,0,39.2,1.4,0.4,0.0
1682665093.918238,0,0,33.4,1.2,0.4,0.0
1682665099.764273,0,0,46.6,1.6,0.4,0.0
1682665105.5903409,0,0,44.8,2.0,0.6,0.2
1682665111.4452996,0,0,48.0,1.4,0.6,0.2
1682665117.2835174,0,0,46.6,0.4,0.4,0.0
1682665123.115819,0,0,39.6,1.6,0.0,0.0
1682665128.9658852,0,0,40.4,1.2,0.6,0.0
1682665134.8563375,0,0,43.0,1.2,0.6,0.0
1682665140.75258,0,0,41.8,1.4,0.0,0.0
1682665146.6764185,0,0,35.0,1.0,0.2,0.0
