Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682665471.9768245,37.865911,-122.254643,31.2,0.6,0.2,0.0
1682665477.4340615,37.865883,-122.254625,38.8,1.4,0.4,0.0
1682665482.9168348,37.865881,-122.254618,35.4,1.0,0.8,0.0
1682665488.3548267,37.865911,-122.254623,36.6,1.6,0.2,0.0
1682665493.8217757,37.86593,-122.254613,36.6,0.6,0.0,0.0
1682665499.3097973,37.865936,-122.25461,35.6,1.0,0.8,0.0
1682665504.800115,37.865963,-122.254604,36.6,1.2,0.4,0.0
1682665510.2997398,37.865963,-122.254611,30.2,0.4,0.2,0.2
1682665515.8064606,37.865966,-122.254604,36.6,1.0,0.2,0.0
1682665522.1290257,37.865953,-122.254583,32.0,1.0,0.0,0.0
1682665529.225834,37.865941,-122.254576,41.2,0.6,0.6,0.0
1682665534.884766,37.865921,-122.254568,27.4,0.6,0.0,0.0
1682665540.5669408,37.865891,-122.254568,35.0,1.8,0.2,0.2
1682665546.2536497,37.865898,-122.254573,34.8,1.2,0.8,0.2
1682665551.9338732,37.865916,-122.254573,32.0,0.4,0.4,0.2
1682665557.7133608,37.865938,-122.254553,32.4,0.6,0.6,0.0
1682665563.3564641,37.865936,-122.254548,34.6,0.0,0.6,0.0
1682665568.983238,37.865943,-122.254546,36.8,0.8,0.8,0.0
1682665574.6666856,37.86596,-122.254543,30.2,1.2,0.0,0.2
1682665580.3436882,37.865948,-122.254548,29.6,0.6,0.2,0.0
1682665586.1040905,37.865965,-122.254546,35.0,0.6,0.0,0.0
1682665591.8336298,37.865955,-122.25455,39.4,1.2,0.6,0.0
1682665597.6122448,37.865926,-122.254546,36.2,1.0,0.0,0.0
1682665603.3462057,37.865921,-122.254558,40.0,1.8,0.8,0.0
1682665609.0778754,37.865898,-122.254585,31.2,2.2,0.0,0.0
1682665614.8202574,37.865906,-122.254586,31.2,1.0,0.2,0.0
1682665620.61115,37.865921,-122.25458,29.4,1.0,0.2,0.0
1682665626.4126122,37.866,-122.25456,34.2,1.0,0.0,0.0
1682665632.2640526,37.865963,-122.25457,34.6,1.0,0.2,0.0
1682665638.1262503,37.865905,-122.254596,32.4,0.8,0.8,0.0
1682665643.9613066,37.865938,-122.254601,34.8,1.8,0.4,0.0
1682665649.8061583,37.866,-122.254603,37.2,0.6,0.4,0.0
1682665655.6903155,37.8661,-122.254566,35.6,0.8,0.0,0.2
1682665661.57732,37.866165,-122.254551,35.2,1.2,0.6,0.0
1682665667.525182,37.866221,-122.254535,39.6,1.8,0.2,0.0
1682665673.619095,37.866208,-122.254538,37.8,0.8,0.8,0.0
1682665679.5514493,37.866243,-122.25452,32.8,0.8,0.6,0.0
1682665685.5138836,37.86621,-122.254516,35.4,0.8,0.6,0.0
1682665691.6299663,37.866193,-122.254503,36.2,0.8,1.0,0.0
1682665697.7473388,37.866136,-122.25449,32.8,1.2,0.6,0.0
1682665703.7582123,37.866101,-122.254498,37.2,0.6,0.8,0.0
1682665709.7918415,37.866071,-122.254515,39.2,0.8,0.8,0.0
1682665715.8395183,37.866048,-122.254518,36.6,1.0,0.4,0.0
