Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682665807.7765775,37.86602,-122.254535,28.4,1.0,0.2,0.0
1682665813.2012494,37.86602,-122.254535,31.6,1.2,0.4,0.0
1682665818.6948245,37.86602,-122.254535,30.0,1.2,0.0,0.0
1682665824.1444924,37.86602,-122.254535,31.6,1.0,0.2,0.2
1682665829.604471,37.86602,-122.254535,27.8,1.4,0.2,0.0
1682665835.0590608,37.86602,-122.254535,27.6,0.6,0.2,0.2
1682665840.538783,37.86602,-122.254535,31.0,0.8,0.4,0.0
1682665846.0264177,37.86602,-122.254535,25.6,0.8,0.0,0.0
1682665851.53758,37.86602,-122.254535,31.8,0.6,0.4,0.0
1682665857.0744202,37.86602,-122.254535,32.0,1.2,0.2,0.0
1682665863.6909654,37.86602,-122.254535,32.0,0.6,0.2,0.0
1682665869.2583044,37.86602,-122.254535,26.8,0.8,0.0,0.0
1682665874.7930517,37.86602,-122.254535,30.4,1.2,0.4,0.0
1682665880.3736491,37.86602,-122.254535,30.4,1.0,0.2,0.0
1682665885.9444485,37.86602,-122.254535,30.0,0.2,0.4,0.0
1682665891.6253805,37.86602,-122.254535,31.2,0.6,0.0,0.0
1682665897.2759316,37.86602,-122.254535,33.2,1.0,0.6,0.0
1682665902.888666,37.86602,-122.254535,30.6,0.8,0.4,0.0
1682665908.5883217,37.86602,-122.254535,33.0,1.2,0.2,0.0
1682665914.2922385,37.86602,-122.254535,32.2,1.0,0.2,0.0
1682665919.9998946,37.86602,-122.254535,33.8,0.2,0.0,0.0
1682665926.9879262,37.86602,-122.254535,34.8,1.2,0.0,0.2
1682665932.7578056,37.86602,-122.254535,37.0,1.4,0.2,0.0
1682665938.5661564,37.86602,-122.254535,28.4,1.4,0.2,0.0
1682665944.3583226,37.86602,-122.254535,32.4,1.4,0.4,0.0
1682665950.1260977,37.86602,-122.254535,28.0,0.8,0.2,0.0
1682665955.9547231,37.86602,-122.254535,30.4,0.4,0.0,0.0
1682665961.8089926,37.86602,-122.254535,34.2,0.8,0.6,0.0
1682665967.712554,37.86602,-122.254535,33.8,1.0,0.4,0.0
1682665973.581854,37.86602,-122.254535,36.8,0.8,0.4,0.0
