time,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0,
1676676435.6466408,1,1,1,
1676676436.6480029,1,2,2,
1676676437.6493347,1,2,2,
1676676438.6506605,1,2,2,
1676676439.6522565,1,2,2,
1676676440.6539617,1,2,2,
1676676441.6557186,1,2,2,
1676676442.6574156,1,2,2,
1676676443.6591098,1,2,2,
1676676444.6608672,1,2,2,
1676676445.6625178,1,3,3,
1676676446.6641877,1,3,3,
1676676447.6658535,1,3,3,
1676676448.6675465,0,2,2,
1676676449.669246,0,2,2,
1676676450.670886,0,2,2,
1676676451.6726487,1,2,2,
1676676452.6743221,2,3,3,
1676676453.6759934,2,3,3,
1676676454.6777081,1,3,3,
1676676455.6793914,1,3,3,
1676676456.6810713,1,3,3,
1676676457.6827579,1,3,3,
1676676458.6844199,1,3,3,
1676676459.6862226,1,3,3,
1676676460.687895,1,3,3,
1676676461.6895866,1,3,3,
1676676462.6912806,1,3,3,
1676676463.6929297,1,4,4,
1676676464.6947145,1,4,4,
