time,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0,temperature,gas,pressure,humidity,altitude,
1677279633,0,0,0,17.225703125,7692,995.6272805344971,34.11578517880219,147.7652633537372,
1677279634,0,0,0,17.2190625,1920,995.6365524566728,33.95381919222544,147.68696406457158,
1677279635,0,0,0,17.1739453125,3334,995.6410231855095,33.827559776908245,147.64920998001145,
1677279636,0,0,0,17.121796875,4454,995.6541009903268,33.76744509974635,147.53877227649087,
1677279638,0,0,0,17.0628125,5446,995.6591609384609,33.64572330204163,147.49604301585387,
1677279639,0,0,0,17.0063671875,6362,995.6989315739597,33.535436132923245,147.16020185145973,
1677279640,0,0,0,16.97140625,7244,995.7338358638264,33.53794448704261,146.86546325128344,
1677279641,0,0,0,16.954609375,8212,995.7685174246444,33.691786705354545,146.5726137040115,
1677279642,0,0,0,16.9610546875,9035,995.8148364750139,33.78672069742111,146.18151059597517,
1677279644,0,0,0,16.955,9853,995.8335420282795,34.05298525187743,146.02357111832157,
1677279645,0,0,0,16.920234375,10756,995.8331812388301,34.01655679880426,146.02661740470188,
1677279646,0,0,0,16.85890625,11605,995.8444266081547,34.28391653623214,145.9316687749182,
1677279647,0,0,0,16.8034375,12404,995.8450993635649,34.68066737886607,145.9259884906124,
1677279648,0,0,0,16.75734375,13193,995.8563101492812,34.69890661967729,145.83133277838556,
1677279649,0,0,0,16.7137890625,14052,995.8598901569526,35.03056822249829,145.801105981897,
1677279651,0,0,0,16.6688671875,14776,995.8527150462011,35.11613737458161,145.86168711728814,
1677279652,0,0,0,16.6106640625,15475,995.8894161885431,35.20615577543352,145.55181452262923,
1677279653,0,0,0,16.5565625,16180,995.8804540280164,35.24612645860722,145.6274823749714,
1677279654,0,0,0,16.50890625,17009,995.8720735417305,35.43253440438389,145.69823962906506,
1677279655,0,0,0,16.4659375,17684,995.8901233248152,35.709513437595014,145.54584416843483,
1677279657,0,0,0,16.4442578125,18382,995.9182846038362,35.57828552236421,145.30808117441435,
