Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps),Temperature (C)
1682116449.781483,37.875523,-122.258961,5.0,33.2,1.0,0.8,0.0,30.685859375
1682116455.743524,37.875553,-122.258993,5.0,37.8,0.4,0.4,0.0,30.736933593750003
1682116461.3945277,37.875593,-122.259046,5.0,43.0,1.0,0.0,0.0,30.754511718750003
1682116467.0012567,37.875645,-122.259076,5.0,38.6,1.0,0.8,0.0,30.7145703125
1682116472.6498547,37.875713,-122.259063,4.5,38.6,0.4,0.2,0.0,30.655
1682116478.3088582,37.875763,-122.259071,5.0,42.6,1.6,0.8,0.0,30.60275390625
1682116484.0949192,37.875798,-122.259073,6.0,36.6,1.2,0.4,0.0,30.5534375
1682116489.812803,37.875901,-122.259105,6.0,37.2,0.8,0.2,0.2,30.51798828125
1682116495.531282,37.875946,-122.259111,6.0,31.4,1.6,0.2,0.0,30.47013671875
1682116501.3426275,37.876011,-122.259108,5.5,39.6,0.2,0.6,0.0,30.3676953125
1682116507.0473475,37.876056,-122.259081,5.0,31.4,0.6,0.2,0.0,30.3159375
1682116512.8046415,37.876098,-122.25908,4.5,24.2,0.4,0.2,0.0,30.28400390625
1682116518.631429,37.87613,-122.259078,5.0,27.8,0.6,0.2,0.0,30.2747265625
1682116524.5267975,37.876153,-122.259151,3.5,33.8,1.2,0.4,0.0,30.2153515625
1682116530.368222,37.87613,-122.259198,3.0,37.2,1.0,0.6,0.0,30.1360546875
1682116536.2969332,37.876115,-122.25927,3.0,39.0,0.4,0.2,0.0,30.09484375
1682116542.232491,37.876111,-122.259324,3.0,28.6,1.0,0.2,0.2,30.0833203125
1682116548.1137075,37.876153,-122.25943,3.0,35.0,1.0,0.0,0.0,30.0692578125
1682116554.1445856,37.876138,-122.259526,3.0,38.4,0.2,0.2,0.2,30.02775390625
1682116560.1297975,37.876188,-122.259631,2.5,37.0,0.6,0.8,0.0,30.0126171875
1682116566.194068,37.876213,-122.259696,3.0,36.2,1.2,0.0,0.0,30.008125
